SNo,DAY,School,SchoolType,StartTime,AvgMaxDailyTemp,AvgMinDailyTemp,AvgIndoorRelativeHumidity,IndoorTempDuringSurvey,Grade,Age,Gender,TotalCLOwithChair,TSV,TPV,TA,TCV,TSL,MC,SwC
180,2,1,0,5,20.5,5,57.53,15.3,5,10,1,1.07,0,0,1,2,2,4,2
181,2,1,0,5,20.5,5,57.53,15.3,5,10,1,1.65,-1,1,1,2,2,4,2
182,2,1,0,5,20.5,5,57.53,15.3,5,10,1,0.9,0,0,1,2,2,4,2
183,2,1,0,5,20.5,5,57.53,15.3,5,9,0,1.04,-1,1,1,2,2,4,2
184,2,1,0,5,20.5,5,57.53,15.3,5,11,1,1.04,0,0,1,2,2,4,2
185,2,1,0,5,20.5,5,57.53,15.3,5,10,0,1.4,0,0,1,2,3,4,2
186,2,1,0,5,20.5,5,57.53,15.3,5,9,0,1.04,-1,1,1,2,1,4,2
187,2,1,0,5,20.5,5,57.53,15.3,5,10,0,1.4,-1,1,1,2,2,4,2
188,2,1,0,5,20.5,5,57.53,15.3,5,11,0,1.04,0,1,1,2,2,4,2
189,2,1,0,5,20.5,5,57.53,15.3,5,10,1,1.26,0,1,1,2,2,4,2
190,2,1,0,5,20.5,5,57.53,15.3,5,10,1,1.26,0,1,1,2,1,4,2
191,2,1,0,5,20.5,5,57.53,15.3,5,10,0,1.04,0,1,1,2,2,4,2
192,2,1,0,5,20.5,5,57.53,15.3,5,9,0,1.26,-1,1,1,2,1,4,2
193,2,1,0,5,20.5,5,57.53,15.3,5,10,0,1.04,0,1,1,2,2,4,2
194,2,1,0,5,20.5,5,57.53,15.3,5,11,0,0.9,0,1,1,2,3,4,2
195,2,1,0,5,20.5,5,60.6,15.3,5,10,0,1.04,-1,1,1,2,2,4,2
196,2,1,0,5,20.5,5,60.6,15.3,5,10,0,1.21,-1,1,1,2,2,4,2
197,2,1,0,5,20.5,5,60.6,15.3,5,10,0,1.07,-1,2,1,2,2,4,2
198,2,1,0,5,20.5,5,60.6,15.3,5,10,0,1.07,0,1,1,2,2,4,2
199,2,1,0,5,20.5,5,60.6,15.3,5,10,0,1.21,0,1,1,2,2,4,2
200,2,1,0,5,20.5,5,60.6,15.3,5,11,1,1.26,-1,2,1,2,1,4,2
201,2,1,0,5,20.5,5,60.6,15.3,5,10,1,1.21,0,1,1,2,3,4,2
202,2,1,0,5,20.5,5,60.6,15.3,5,10,0,1.21,0,0,1,2,2,4,2
203,2,1,0,5,20.5,5,60.6,15.3,5,11,0,1.21,0,0,1,2,2,4,2
204,3,1,0,3,22.2,5.2,60.6,13.8,3,8,0,1.07,0,0,1,2,2,4,1
205,3,1,0,3,22.2,5.2,60.6,13.8,3,9,1,1.43,0,0,1,3,3,4,2
206,3,1,0,3,22.2,5.2,60.6,13.8,3,10,0,1.79,0,0,1,2,2,4,2
207,3,1,0,3,22.2,5.2,60.6,13.8,3,8,1,1.43,0,1,1,2,2,4,3
208,3,1,0,3,22.2,5.2,60.6,13.8,3,9,1,1.26,0,0,1,2,2,4,2
209,3,1,0,3,22.2,5.2,60.6,13.8,3,9,1,1.04,2,2,0,2,2,4,1
210,3,1,0,3,22.2,5.2,60.6,13.8,3,9,0,1.62,-1,2,1,2,1,4,1
211,3,1,0,3,22.2,5.2,60.6,13.8,3,9,1,1.21,0,0,1,2,2,4,2
212,3,1,0,3,22.2,5.2,60.6,13.8,3,9,1,1.21,0,0,1,2,2,4,2
213,3,1,0,3,22.2,5.2,60.6,13.8,3,9,1,1.4,0,1,1,2,2,4,2
214,3,1,0,3,22.2,5.2,60.6,13.8,3,7,1,1.43,0,0,1,3,3,4,2
215,3,1,0,3,22.2,5.2,60.6,13.8,3,7,1,1.4,0,1,1,2,2,4,2
216,3,1,0,3,22.2,5.2,60.6,13.8,3,8,0,1.57,-1,1,1,3,2,4,2
217,3,1,0,3,22.2,5.2,60.6,13.8,3,8,0,1.21,0,0,1,3,2,4,2
218,3,1,0,3,22.2,5.2,60.6,13.8,3,8,1,1.29,0,0,1,2,2,4,2
219,3,1,0,3,22.2,5.2,60.6,13.8,3,9,1,1.48,-1,1,1,2,2,4,2
220,3,1,0,3,22.2,5.2,60.6,13.8,3,10,0,1.04,0,0,1,3,2,4,2
221,3,1,0,3,22.2,5.2,60.6,13.8,3,8,0,1.04,-1,0,1,2,2,4,2
222,3,1,0,3,22.2,5.2,60.6,13.8,3,9,0,1.57,0,0,1,2,2,4,2
223,3,1,0,3,22.2,5.2,60.6,13.8,3,9,0,1.21,0,0,1,2,3,4,2
224,3,1,0,3,22.2,5.2,60.6,13.8,3,8,0,1.21,0,1,1,2,3,4,2
225,3,1,0,3,22.2,5.2,60.6,13.8,3,8,1,1.26,-1,1,1,2,3,4,2
226,3,1,0,3,22.2,5.2,60.6,13.8,3,8,0,1.21,0,1,1,3,2,4,2
227,3,1,0,3,22.2,5.2,60.4,13.8,3,9,0,1.21,0,0,1,2,2,4,2
228,3,1,0,3,22.2,5.2,60.4,13.8,3,7,1,1.04,-1,1,1,2,3,4,2
229,3,1,0,3,22.2,5.2,60.4,13.8,3,8,1,1.51,-1,2,1,2,3,4,2
230,3,1,0,3,22.2,5.2,60.4,13.8,3,8,0,0.9,0,0,1,3,2,4,2
231,3,1,0,3,22.2,5.2,60.4,13.8,3,9,1,1.07,0,1,1,3,3,4,2
232,3,1,0,3,22.2,5.2,60.4,13.8,3,10,0,1.57,-1,1,1,3,2,4,2
233,3,1,0,3,22.2,5.2,60.4,13.8,3,10,0,1.04,0,0,1,2,3,4,2
234,3,1,0,3,22.2,5.2,60.4,13.8,3,10,1,1.21,0,0,1,3,3,4,2
235,3,1,0,3,22.2,5.2,60.4,13.8,3,8,0,1.21,0,0,1,2,3,4,2
236,3,1,0,3,22.2,5.2,60.4,14.4,4,9,0,1.57,0,0,1,3,3,4,2
237,3,1,0,3,22.2,5.2,60.4,14.4,4,9,0,1.43,0,0,1,3,2,4,2
238,3,1,0,3,22.2,5.2,60.4,14.4,4,9,1,1.43,0,0,1,2,3,4,2
239,3,1,0,3,22.2,5.2,60.4,14.4,4,9,0,1.57,0,0,1,2,2,4,1
240,3,1,0,3,22.2,5.2,60.4,14.4,4,10,1,1.57,0,0,1,3,2,4,2
241,3,1,0,3,22.2,5.2,60.4,14.4,4,11,1,1.43,0,0,1,2,3,4,2
242,3,1,0,3,22.2,5.2,60.4,14.4,4,11,1,1.43,0,0,1,3,2,4,2
243,3,1,0,3,22.2,5.2,60.4,14.4,4,11,1,1.48,0,0,1,3,3,4,2
244,3,1,0,3,22.2,5.2,60.4,14.4,4,11,1,1.57,0,1,1,3,2,4,2
245,3,1,0,3,22.2,5.2,60.4,14.4,4,10,0,1.57,0,0,1,3,2,4,2
246,3,1,0,3,22.2,5.2,60.4,14.4,4,9,0,1.21,0,0,1,3,2,4,2
247,3,1,0,3,22.2,5.2,60.4,14.4,4,9,0,1.43,0,0,1,2,2,4,2
248,3,1,0,3,22.2,5.2,60.4,14.4,4,9,0,1.4,0,0,1,2,2,4,2
249,3,1,0,3,22.2,5.2,60.4,14.4,4,9,1,1.53,-1,0,1,3,2,4,2
250,3,1,0,3,22.2,5.2,60.4,14.4,4,10,0,1.21,0,0,1,2,1,4,2
251,3,1,0,3,22.2,5.2,60.4,14.4,4,9,0,1.21,0,0,1,3,2,4,2
252,3,1,0,3,22.2,5.2,60.4,14.4,4,9,0,1.21,0,0,1,2,3,4,2
253,3,1,0,3,22.2,5.2,60.4,14.4,4,8,0,1.57,0,0,1,3,2,4,2
254,3,1,0,3,22.2,5.2,60.4,14.4,4,9,0,1.21,0,0,1,3,2,4,2
255,3,1,0,3,22.2,5.2,60.4,14.4,4,9,1,1.43,0,2,1,2,2,4,2
256,3,1,0,3,22.2,5.2,60.4,14.4,4,9,1,1.57,0,0,0,3,2,4,2
257,3,1,0,3,22.2,5.2,60.4,14.4,4,9,0,1.57,0,0,1,3,2,4,2
258,3,1,0,3,22.2,5.2,60.4,14.4,4,9,0,1.43,0,0,1,2,3,4,2
259,3,1,0,3,22.2,5.2,60.4,14.4,4,9,0,1.26,0,0,1,3,2,4,2
260,3,1,0,3,22.2,5.2,60.4,14.4,4,9,1,1.26,0,0,1,3,2,4,2
261,3,1,0,3,22.2,5.2,60.4,14.4,4,10,0,1.21,0,0,1,2,3,4,2
262,3,1,0,3,22.2,5.2,60.4,14.4,4,10,0,1.21,0,0,1,3,2,4,2
263,3,1,0,3,22.2,5.2,60.4,14.4,4,10,0,1.21,0,0,1,2,3,4,2
264,3,1,0,3,22.2,5.2,60.4,14.4,4,10,1,1.12,0,0,1,3,3,4,2
265,3,1,0,3,22.2,5.2,60.4,14.4,4,10,1,1.43,0,0,1,2,2,4,2
266,3,1,0,3,22.2,5.2,60.4,14.4,4,9,0,1.21,0,0,1,2,3,4,2
267,3,1,0,3,22.2,5.2,60.4,14.4,4,10,1,1.43,0,0,1,2,3,4,2
268,3,1,0,3,22.2,5.2,60.4,14.4,4,10,1,1.04,0,0,1,2,2,4,2
269,3,1,0,3,22.2,5.2,58.2,14.4,4,9,1,1.57,0,0,1,2,3,4,2
270,3,1,0,3,22.2,5.2,58.2,14.4,4,11,1,1.57,0,1,1,3,3,4,2
271,3,1,0,3,22.2,5.2,58.2,14.4,4,11,1,1.57,0,0,1,2,3,4,2
272,3,1,0,3,22.2,5.2,58.2,14.4,4,10,1,1.57,0,1,1,2,2,1,2
